lat,lon,desc,date
19.1305158299,72.9157420993,,10-05-2017
19.1305158299,72.9157420993,,10-05-2017
19.1302662226,72.9161870107,small patch,10-05-2017
19.1296317495,72.9166631028,small bump,10-05-2017
19.1294717846,72.9171180725,bump,10-05-2017
19.1297071388,72.9176903889,bump,10-05-2017
19.1296520222,72.9182687402,big bump,10-05-2017
19.1295278515,72.9189922661,rough road,10-05-2017
19.129156289,72.9190928489,rough again,10-05-2017
19.128186358,72.9191106185,manhole,10-05-2017
19.1253199284,72.9165812954,rough patch mg,10-05-2017
19.1264048631,72.9159680754,broad bump,10-05-2017
19.1280663041,72.9153407738,bump,10-05-2017
19.1286931809,72.9153327271,bump,10-05-2017
19.1298002668,72.9154148698,b3,10-05-2017
19.129573782,72.9159003496,bump,10-05-2017
19.1194830158,72.9160743579,bump,10-05-2017
19.1195758328,72.9154185578,small bump,10-05-2017
19.1198831104,72.915058136,small bump,10-05-2017
19.1194975878,72.9150745645,small bump,10-05-2017
19.1195913551,72.9145116359,manhole,10-05-2017
19.1195188121,72.9142581671,one-sided bump,10-05-2017
19.1198013809,72.9133519158,bump,10-05-2017
19.1197953621,72.9139788821,square manhole,10-05-2017
19.1198051823,72.9164418206,bump,10-05-2017
19.1206107541,72.9167586565,bump,10-05-2017
19.1210637479,72.9169889912,rough patch,10-05-2017
19.1212968967,72.917144224,rough patch,10-05-2017
19.121463205,72.91723039,rough patch,10-05-2017
19.121708074,72.9173936695,rough patch,10-05-2017
19.1217964548,72.9174580425,rough patch,10-05-2017
19.1225399289,72.9177400097,pipe patch,10-05-2017
19.1226330609,72.917836234,bumpy patch,10-05-2017
19.1227832124,72.9177125171,bad pothole,10-05-2017
19.1229511032,72.9176997766,bumpy tiles,10-05-2017
19.1226748753,72.9180092365,hard bump,10-05-2017
19.1230024207,72.9183414951,dangerous broad pothole,10-05-2017
19.1231015711,72.9183777049,small bump,10-05-2017
19.1232235293,72.9184182733,tiled broken bump,10-05-2017
19.1232776977,72.918433696,rough patch,10-05-2017
19.1233578416,72.9184575006,tiled bump,10-05-2017
19.1235681794,72.9184927046,broad bump,10-05-2017
19.1235856019,72.918379046,small bump,10-05-2017
19.1235076756,72.9178506508,bump,10-05-2017
19.1235437878,72.9182221368,bump,10-05-2017
19.1234937376,72.9177058116,bump,10-05-2017
19.123500073,72.9180186242,rough patch,10-05-2017
